"filename", "language", "JSON", "YAML", "Swift", "Dart", "Groovy", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\android\app\google-services.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 46
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\android\build.gradle", "Groovy", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\auth_controller.dart", "Dart", 0, 0, 0, 41, 0, 0, 15, 56
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\campuran.dart", "Dart", 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\home.dart", "Dart", 0, 0, 0, 262, 0, 28, 42, 332
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\invest.dart", "Dart", 0, 0, 0, 55, 0, 0, 10, 65
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pasaruang.dart", "Dart", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pendapatantetap.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\profil.dart", "Dart", 0, 0, 0, 170, 0, 22, 22, 214
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\saham.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\transaksi.dart", "Dart", 0, 0, 0, 282, 0, 3, 11, 296
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\firebase_options.dart", "Dart", 0, 0, 0, 66, 0, 12, 6, 84
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\main.dart", "Dart", 0, 0, 0, 38, 0, 4, 3, 45
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage.dart", "Dart", 0, 0, 0, 9, 0, 5, 3, 17
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage2.dart", "Dart", 0, 0, 0, -2, 0, 4, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage3.dart", "Dart", 0, 0, 0, 4, 0, 4, 1, 9
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\homepage.dart", "Dart", 0, 0, 0, 110, 0, 9, 8, 127
