"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\auth_controller.dart", "Dart", 0, 3, 0, 1, 4
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\campuran.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\home.dart", "Dart", 0, 68, -17, 14, 65
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\invest.dart", "Dart", 0, 244, 9, 19, 272
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pasaruang.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pendapatantetap.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\portofolio.dart", "Dart", 0, 305, 7, 28, 340
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\portofolio2.dart", "Dart", 0, 398, 16, 18, 432
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\profil.dart", "Dart", 0, -37, 68, 6, 37
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\saham.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\transaksi.dart", "Dart", 0, -14, 0, 0, -14
